N,max_chi_mps,tolerance_in_S,module_name,boundary_modules_right,boundary_modules_left,sum_of_local_energies.re,sum_of_local_energies.im,average_of_local_energies.re,average_of_local_energies.im,energy_per_site.re,energy_per_site.im,total_time
40,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-8.491408004254954,-2.480854646761993e-16,-0.21772841036551163,-6.361165760928187e-18,-0.1490823745691627,-8.460136207820237e-18,0:09:30.743237
40,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.1311970156442241,-3.285658857225268e-17,-0.029005051683185235,-8.42476630057761e-19,-0.14907453017208794,-2.741085492488993e-18,0:25:50.334849
40,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.7597830141960364,4.409951086033557e-17,-0.01948161574861632,1.130756688726553e-18,-0.14907425334197258,8.673617379884035e-19,0:27:05.686521
41,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-0.43730698278315167,-2.2111048003374148e-20,-0.010932674569578792,-5.527762000843537e-22,-0.14892699755514668,-8.157550619858846e-19,0:34:25.002265
41,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.1563213281124547,-3.5703961461106366e-17,-0.028908033202811368,-8.925990365276593e-19,-0.14892637530226766,-5.793853589985184e-18,0:37:12.572651
41,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.7749371915485819,1.656341847686101e-17,-0.01937342978871455,4.1408546192152524e-19,-0.1489178640122337,1.691355389077387e-18,0:33:57.835538
42,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-0.4437578081855613,-5.542971424112383e-21,-0.010823361175257593,-1.351944249783508e-22,-0.14878583217228136,-3.127016867559453e-19,0:22:08.631414
42,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.1821091498686356,-3.404269337560928e-17,-0.02883193048460087,-8.303095945270556e-19,-0.14878404398983197,-2.284757748847502e-18,0:12:30.162213
42,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.7915313119457599,3.545035197341038e-17,-0.01930564175477463,8.646427310587898e-19,-0.1487859437682121,-3.807929581412504e-18,0:08:09.802635
43,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-9.135362631828551,5.822532099059878e-16,-0.21750863409115598,1.386317166442828e-17,-0.14866026627951337,1.1121075068149225e-17,0:07:50.944434
43,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.204971633878857,9.517049279336318e-17,-0.02868980080663945,2.2659641141276945e-18,-0.14864534828079173,5.3693821875472595e-18,0:09:44.897989
43,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.6973840701564188,1.5145474192381438e-16,-0.016604382622771877,3.606065283900342e-18,-0.1390462031130984,2.230358754827323e-18,0:07:38.651880
44,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-0.45676065558348566,-2.051738792381656e-17,-0.010622340827522923,-4.7714855636782695e-19,-0.14852461974174636,-8.401402596840921e-18,0:09:23.435502
44,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.2322875072349837,1.1554655643659393e-16,-0.028657849005464735,2.687129219455673e-18,-0.14852437254886536,1.3070939679453151e-17,0:08:26.579172
44,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.6735391399534576,-4.305064497797241e-17,-0.015663700929150176,-1.0011777901854048e-18,-0.13235098737308876,3.2273925134452225e-18,0:07:12.702320
45,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0]]",-0.4632281398655779,-1.0042634361581389e-18,-0.010527912269672226,-2.2824169003594065e-20,-0.14840249584630008,-1.3147312593342511e-18,0:09:57.608318
45,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0]]",-1.2576185202028232,1.315289645355878e-17,-0.02858223909551871,2.9892946485360863e-19,-0.14840263688560534,5.3236790764884825e-18,0:09:34.156015
45,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0]]",-0.83930007235927,-1.1885017080201957e-17,-0.019075001644528862,-2.701140245500445e-19,-0.14840263361782402,-1.4587447411623151e-18,0:10:05.103828
