N,max_chi_mps,tolerance_in_S,module_name,boundary_modules_right,boundary_modules_left,sum_of_local_energies.re,sum_of_local_energies.im,average_of_local_energies.re,average_of_local_energies.im,energy_per_site.re,energy_per_site.im,total_time
40,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.04369390726263,-8.138673821793117e-17,-0.05240240787852898,-2.0868394414854145e-18,-0.14907452934482374,-1.3125060671492794e-18,0:11:04.368749
40,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-7.3004407949455095,-8.679033468220032e-16,-0.1871907896139874,-2.2253931969794952e-17,-0.1490823764490724,1.2050629146619334e-17,0:09:43.871848
40,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.0723117915920986,8.61010913380797e-18,-0.05313619978441278,2.2077202907199923e-19,-0.1490745296164671,-3.02464606067751e-18,0:11:34.962534
41,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.091376315535048,2.17443377210539e-18,-0.05228440788837621,5.436084430263475e-20,-0.14892638164371058,-9.46056364363261e-19,0:11:54.048798
41,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-7.483302294315753,7.356521305830015e-16,-0.18708255735789384,1.8391303264575038e-17,-0.1489346440972418,1.717918342303282e-17,0:10:13.024765
41,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.119889888017714,6.907645304472015e-18,-0.052997247200442854,1.726911326118004e-19,-0.1489263819092426,5.312590645178972e-19,0:13:13.573412
42,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.1390563237352995,-1.419713260345318e-16,-0.05217210545695853,-3.4627152691349217e-18,-0.14878608825032483,-4.1034239051199525e-18,0:13:17.936634
42,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-2.3236700959268823,2.2469405506851495e-16,-0.056674880388460545,5.480342806549145e-18,-0.1487858300399065,-6.875428410883687e-19,0:12:21.659844
42,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.1677615156136243,-5.809996253734097e-17,-0.052872232088137176,-1.4170722570083164e-18,-0.14878608777289826,-4.907998127153894e-18,0:13:07.951685
43,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.18683610806931,-6.229922114230297e-18,-0.05206752638260261,-1.4833147891024516e-19,-0.14865215615391741,4.5124363733174634e-18,0:12:34.403653
43,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-2.3713890712510755,-2.2636025109068196e-17,-0.056461644553597035,-5.38952978787338e-19,-0.14865202124712593,1.734723475976807e-18,0:12:33.498268
43,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.215440615791516,7.173044145591462e-17,-0.05274858609027419,1.7078676537122526e-18,-0.14865215600849258,-2.4781763942525814e-19,0:13:02.339740
44,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.2345306652042245,-2.6063908366300534e-17,-0.05196582942335406,-6.061374038674543e-19,-0.14852436384807796,-5.255215619809533e-18,0:14:10.092977
44,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-8.031886820889977,4.27118872607959e-17,-0.18678806560209246,9.932997037394396e-19,-0.14853267471134562,1.2090114923413938e-18,0:10:43.459142
44,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.263105079157909,-1.3019684709308679e-16,-0.05263035067809091,-3.0278336533275997e-18,-0.14852436263982366,-9.198068663318884e-18,0:13:00.484421
45,15,0.0001,RepPsiA4,"[[0, 0]]","[[0, 0], [1, 1], [2, 2]]",-2.282237598001224,-2.1813026544615622e-18,-0.05186903631820964,-4.957506032867187e-20,-0.14840263445839852,6.081310733042433e-19,0:14:16.000548
45,15,0.0001,RepPsiA4,"[[1, 1]]","[[0, 0], [1, 1], [2, 2]]",-2.4668415029177218,3.1960458673304157e-18,-0.056064579611766405,7.263740607569127e-20,-0.1484024973413267,1.9318511437014445e-18,0:13:07.344672
45,15,0.0001,RepPsiA4,"[[2, 2]]","[[0, 0], [1, 1], [2, 2]]",-2.31090000361915,-2.262507357533628e-16,-0.052520454627707956,-5.1420621762127914e-18,-0.14840263407511697,-7.412000306446357e-18,0:14:13.250116
